Genotype,F1,F2,Plate,Block,Drug,DC,Conentration,FvFm,Root,,
B,2,62,36,1,Erythromycin,Ery_2,2,0.419,18.294,,
B,2,69,36,1,Erythromycin,Ery_2,2,0.514,15.062,,
BA,2,13,36,1,Erythromycin,Ery_2,2,0.314,7.348,,
BA,2,26,36,1,Erythromycin,Ery_2,2,0.513,14.796,,
W,2,16,36,1,Erythromycin,Ery_2,2,0.442,3.393,,
W,2,41,36,1,Erythromycin,Ery_2,2,0.668,23.19,,
B,2,62,37,2,Erythromycin,Ery_2,2,0.434,15.763,,
B,2,69,37,2,Erythromycin,Ery_2,2,0.341,14.19,,
BA,2,13,37,2,Erythromycin,Ery_2,2,0.466,6.41,,
BA,2,26,37,2,Erythromycin,Ery_2,2,0.398,15.429,,
W,2,16,37,2,Erythromycin,Ery_2,2,0.662,22.353,,
W,2,41,37,2,Erythromycin,Ery_2,2,0.705,23.562,,
A,2,8,37,2,Erythromycin,Ery_2,2,0.377,16.567,,
A,2,9,37,2,Erythromycin,Ery_2,2,0.407,7.288,,
BA,2,13,38,3,Erythromycin,Ery_2,2,0.403,12.814,,
BA,2,26,38,3,Erythromycin,Ery_2,2,0.391,14.825,,
W,2,16,38,3,Erythromycin,Ery_2,2,0.717,24.602,,
W,2,41,38,3,Erythromycin,Ery_2,2,0.702,30.116,,
A,2,8,38,3,Erythromycin,Ery_2,2,0.376,13.028,,
A,2,9,38,3,Erythromycin,Ery_2,2,0.295,1.819,,
B,2,62,38,3,Erythromycin,Ery_2,2,0.532,17.936,,
B,2,69,38,3,Erythromycin,Ery_2,2,0.51,14.328,,
W,2,16,39,4,Erythromycin,Ery_2,2,0.624,4.332,,
W,2,41,39,4,Erythromycin,Ery_2,2,0.727,25.221,,
A,2,8,39,4,Erythromycin,Ery_2,2,0.462,14.459,,
A,2,9,39,4,Erythromycin,Ery_2,2,0.527,5.042,,
B,2,62,39,4,Erythromycin,Ery_2,2,0.462,10.385,,
B,2,69,39,4,Erythromycin,Ery_2,2,0.524,13.428,,
BA,2,13,39,4,Erythromycin,Ery_2,2,0.433,8.675,,
BA,2,26,39,4,Erythromycin,Ery_2,2,0.512,13.37,,
A,2,8,40,5,Erythromycin,Ery_2,2,0.495,18.281,,
A,2,9,40,5,Erythromycin,Ery_2,2,NA,NA,not germ,
B,2,62,40,5,Erythromycin,Ery_2,2,0.42,17.459,,
B,2,69,40,5,Erythromycin,Ery_2,2,0.304,10.942,,
BA,2,13,40,5,Erythromycin,Ery_2,2,0.335,4.161,,
BA,2,26,40,5,Erythromycin,Ery_2,2,0.372,17.829,,
W,2,16,40,5,Erythromycin,Ery_2,2,0.685,21.703,,
W,2,41,40,5,Erythromycin,Ery_2,2,0.718,25.327,,
A,2,8,41,1,Hygromycin,Hyg_2,2,0.707,16.803,,
A,2,9,41,1,Hygromycin,Hyg_2,2,0.711,16.331,,
B,2,62,41,1,Hygromycin,Hyg_2,2,0.718,15.663,,
B,2,69,41,1,Hygromycin,Hyg_2,2,0.731,14.216,,
BA,2,13,41,1,Hygromycin,Hyg_2,2,NA,NA,not germ,
BA,2,26,41,1,Hygromycin,Hyg_2,2,0.707,18.636,,
W,2,16,41,1,Hygromycin,Hyg_2,2,0.718,18.083,,
W,2,41,41,1,Hygromycin,Hyg_2,2,0.716,17.886,,
B,2,62,42,2,Hygromycin,Hyg_2,2,0.741,15.446,,
